x,1,2,3
0.51917,0.48069,0.86508,0.97671
0.52017,0.47969,0.86457,0.97657
0.52117,0.47868,0.86405,0.97643
0.52217,0.47768,0.86352,0.97630
0.52317,0.47669,0.86301,0.97616
0.52417,0.47570,0.86248,0.97603
0.52518,0.47469,0.86196,0.97589
0.52618,0.47372,0.86143,0.97575
0.52718,0.47271,0.86090,0.97561
0.52818,0.47171,0.86037,0.97547
0.52918,0.47070,0.85985,0.97532
0.53018,0.46969,0.85932,0.97518
0.53118,0.46869,0.85879,0.97505
0.53218,0.46767,0.85826,0.97490
0.53318,0.46667,0.85771,0.97477
0.53418,0.46565,0.85718,0.97462
0.53518,0.46466,0.85665,0.97449
0.53618,0.46365,0.85611,0.97434
0.53718,0.46266,0.85556,0.97420
0.53818,0.46165,0.85502,0.97406
0.53918,0.46065,0.85446,0.97391
0.54018,0.45964,0.85392,0.97377
0.54118,0.45863,0.85336,0.97362
0.54218,0.45764,0.85282,0.97347
0.54318,0.45664,0.85228,0.97332
0.54418,0.45562,0.85174,0.97318
0.54518,0.45462,0.85120,0.97303
0.54618,0.45364,0.85065,0.97288
0.54718,0.45264,0.85011,0.97273
0.54818,0.45164,0.84956,0.97258
0.54918,0.45064,0.84899,0.97242
0.55018,0.44964,0.84845,0.97228
0.55118,0.44866,0.84790,0.97213
0.55218,0.44767,0.84734,0.97198
0.55318,0.44666,0.84680,0.97182
0.55418,0.44565,0.84624,0.97167
0.55519,0.44468,0.84569,0.97151
0.55619,0.44369,0.84514,0.97136
0.55719,0.44269,0.84458,0.97120
0.55819,0.44167,0.84403,0.97104
0.55919,0.44067,0.84347,0.97088
0.56019,0.43967,0.84291,0.97072
0.56119,0.43868,0.84235,0.97056
0.56219,0.43767,0.84179,0.97040
0.56319,0.43668,0.84123,0.97024
0.56419,0.43568,0.84066,0.97008
0.56519,0.43469,0.84009,0.96992
0.56619,0.43368,0.83952,0.96976
0.56719,0.43268,0.83897,0.96960
0.56819,0.43167,0.83838,0.96944
0.56919,0.43068,0.83781,0.96927
0.57019,0.42969,0.83724,0.96910
0.57119,0.42868,0.83667,0.96894
0.57219,0.42768,0.83608,0.96878
0.57319,0.42667,0.83550,0.96862
0.57419,0.42568,0.83493,0.96845
0.57519,0.42469,0.83436,0.96829
0.57619,0.42368,0.83379,0.96812
0.57719,0.42268,0.83321,0.96796
0.57819,0.42168,0.83264,0.96779
0.57919,0.42067,0.83204,0.96763
0.58019,0.41969,0.83146,0.96746
0.58119,0.41871,0.83089,0.96729
0.58219,0.41769,0.83030,0.96712
0.58319,0.41670,0.82972,0.96695
0.58419,0.41570,0.82913,0.96676
0.58520,0.41469,0.82854,0.96659
0.58620,0.41369,0.82796,0.96642
0.58720,0.41271,0.82737,0.96625
0.58820,0.41170,0.82679,0.96608
0.58920,0.41070,0.82620,0.96590
0.59020,0.40971,0.82562,0.96574
0.59120,0.40871,0.82503,0.96557
0.59220,0.40772,0.82445,0.96540
0.59320,0.40672,0.82387,0.96523
0.59420,0.40573,0.82326,0.96504
0.59520,0.40474,0.82265,0.96487
0.59620,0.40372,0.82206,0.96469
0.59720,0.40273,0.82146,0.96451
0.59820,0.40172,0.82087,0.96434
0.59920,0.40073,0.82027,0.96415
0.60020,0.39972,0.81966,0.96397
0.60120,0.39871,0.81907,0.96379
0.60220,0.39773,0.81848,0.96361
0.60320,0.39672,0.81788,0.96342
0.60420,0.39573,0.81728,0.96324
0.60520,0.39472,0.81667,0.96307
0.60620,0.39372,0.81607,0.96289
0.60720,0.39274,0.81546,0.96271
0.60820,0.39173,0.81485,0.96252
0.60920,0.39072,0.81425,0.96233
0.61020,0.38972,0.81363,0.96214
0.61120,0.38871,0.81302,0.96195
0.61220,0.38769,0.81242,0.96177
0.61320,0.38671,0.81179,0.96159
0.61420,0.38572,0.81118,0.96140
0.61521,0.38473,0.81058,0.96121
0.61621,0.38373,0.80997,0.96101
0.61721,0.38273,0.80935,0.96083
0.61821,0.38175,0.80874,0.96063
0.61921,0.38075,0.80812,0.96044
0.62021,0.37974,0.80750,0.96024
0.62121,0.37875,0.80686,0.96006
0.62221,0.37776,0.80626,0.95986
0.62321,0.37675,0.80564,0.95968
0.62421,0.37573,0.80502,0.95948
0.62521,0.37473,0.80438,0.95929
0.62621,0.37373,0.80375,0.95909
0.62721,0.37272,0.80312,0.95889
0.62821,0.37172,0.80249,0.95869
0.62921,0.37072,0.80187,0.95850
0.63021,0.36971,0.80125,0.95830
0.63121,0.36871,0.80062,0.95811
0.63221,0.36772,0.79999,0.95791
0.63321,0.36671,0.79936,0.95771
0.63421,0.36570,0.79872,0.95751
0.63521,0.36470,0.79808,0.95730
0.63621,0.36370,0.79745,0.95710
0.63721,0.36271,0.79680,0.95690
0.63821,0.36170,0.79617,0.95669
0.63921,0.36070,0.79554,0.95649
0.64021,0.35969,0.79491,0.95628
0.64121,0.35868,0.79427,0.95608
0.64221,0.35769,0.79363,0.95587
0.64321,0.35669,0.79299,0.95566
0.64421,0.35570,0.79236,0.95545
0.64522,0.35470,0.79172,0.95524
0.64622,0.35370,0.79109,0.95504
0.64722,0.35271,0.79044,0.95483
0.64822,0.35171,0.78980,0.95461
0.64922,0.35072,0.78913,0.95440
0.65022,0.34972,0.78848,0.95419
0.65122,0.34872,0.78784,0.95397
0.65222,0.34773,0.78718,0.95376
0.65322,0.34673,0.78652,0.95355
0.65422,0.34572,0.78586,0.95333
0.65522,0.34473,0.78521,0.95312
0.65622,0.34374,0.78456,0.95290
0.65722,0.34274,0.78390,0.95268
0.65822,0.34174,0.78325,0.95246
0.65922,0.34074,0.78258,0.95224
0.66022,0.33972,0.78194,0.95202
0.66122,0.33873,0.78127,0.95180
0.66222,0.33772,0.78060,0.95159
0.66322,0.33669,0.77994,0.95138
0.66422,0.33568,0.77929,0.95116
0.66522,0.33467,0.77861,0.95094
0.66622,0.33367,0.77795,0.95072
0.66722,0.33266,0.77729,0.95050
0.66822,0.33166,0.77663,0.95027
0.66922,0.33066,0.77596,0.95004
0.67022,0.32967,0.77527,0.94983
0.67122,0.32868,0.77460,0.94961
0.67222,0.32769,0.77393,0.94939
0.67322,0.32670,0.77327,0.94916
0.67422,0.32569,0.77260,0.94894
0.67523,0.32470,0.77193,0.94871
0.67623,0.32369,0.77124,0.94848
0.67723,0.32270,0.77057,0.94826
0.67823,0.32170,0.76989,0.94802
0.67923,0.32071,0.76922,0.94779
0.68023,0.31971,0.76853,0.94756
0.68123,0.31872,0.76785,0.94734
0.68223,0.31772,0.76716,0.94710
